Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
CoA Catabolism;11;4;1;2,00600;6,3761e-01;0,90030000;0,0409670;41;0,41;1,000000000;1,00000000;0,8876230;P65;"EC0002;EC0003";PFOSTemp;Female;0,498504486540379
Glutamate metabolism;24;7;2;2,00600;6,3761e-01;0,90030000;0,0409670;71;0,71;1,000000000;1,00000000;0,8876230;P66;"EC0006;EC00091";PFOSTemp;Female;0,997008973080758
Pyrimidine metabolism;69;13;3;4,26270;6,5509e-01;0,83810000;0,0441070;50;0,50;1,000000000;1,00000000;0,8876230;P67;"EC0002;EC0003;EC0006;EC00091";PFOSTemp;Female;0,703779294813147
Urea cycle/amino group metabolism;52;15;5;4,26270;6,5509e-01;0,83810000;0,0441070;43;0,43;1,000000000;1,00000000;0,8876230;P68;"EC0006;EC00018;EC00024;EC00091";PFOSTemp;Female;1,172965491355244
Blood Group Biosynthesis;11;4;1;1,00300;6,8675e-01;1,00000000;0,0505650;39;0,39;1,000000000;1,00000000;0,8876230;P69;EC00043;PFOSTemp;Female;0,997008973080758
Glycosphingolipid biosynthesis - lactoseries;5;3;1;1,00300;6,8675e-01;1,00000000;0,0505650;39;0,39;1,000000000;1,00000000;0,8876230;P70;EC00043;PFOSTemp;Female;0,997008973080758
O-Glycan biosynthesis;10;5;2;1,00300;6,8675e-01;1,00000000;0,0505650;39;0,39;1,000000000;1,00000000;0,8876230;P71;EC00043;PFOSTemp;Female;1,994017946161516
Vitamin B3 (nicotinate and nicotinamide) metabolism;27;3;1;1,00300;6,8675e-01;1,00000000;0,0505650;46;0,46;1,000000000;1,00000000;0,8876230;P72;EC00018;PFOSTemp;Female;0,997008973080758
Biopterin metabolism;26;3;1;2,25670;7,0509e-01;0,92561000;0,0548360;51;0,51;1,000000000;1,00000000;0,8876230;P73;"EC00028;EC00030";PFOSTemp;Female;0,443124916914078
Vitamin B5 - CoA biosynthesis from pantothenate;18;5;1;2,25670;7,0509e-01;0,92561000;0,0548360;41;0,41;1,000000000;1,00000000;0,8876230;P74;"EC0002;EC0003";PFOSTemp;Female;0,443124916914078
Fructose and mannose metabolism;37;17;6;2,50750;7,6191e-01;0,94455000;0,0712730;80;0,80;1,000000000;1,00000000;0,8876230;P75;"EC0008;EC00067";PFOSTemp;Female;2,392821535393819
N-Glycan biosynthesis;29;7;2;2,50750;7,6191e-01;0,94455000;0,0712730;55;0,55;1,000000000;1,00000000;0,8876230;P76;"EC0008;EC00043";PFOSTemp;Female;0,797607178464606
Pyruvate Metabolism;24;8;3;2,50750;7,6191e-01;0,94455000;0,0712730;73;0,73;1,000000000;1,00000000;0,8876230;P77;"EC000127;EC000200";PFOSTemp;Female;1,196410767696909
Glycosphingolipid biosynthesis - neolactoseries;11;4;1;1,25370;7,6625e-01;1,00000000;0,0727710;46;0,46;1,000000000;1,00000000;0,8876230;P78;EC00043;PFOSTemp;Female;0,797638988593762
Galactose metabolism;44;19;10;2,75820;8,0912e-01;0,95871000;0,0901060;88;0,88;1,000000000;1,00000000;0,8876230;P79;"EC0008;EC00067";PFOSTemp;Female;3,625552896816765
C21-steroid hormone biosynthesis and metabolism;77;22;5;4,01190;8,1139e-01;0,93858000;0,0911740;46;0,46;1,000000000;1,00000000;0,8876230;P80;"EC00061;EC00062;EC000235";PFOSTemp;Female;1,246292280465615
Putative anti-Inflammatory metabolites formation from EPA;19;4;1;1,75520;8,7024e-01;1,00000000;0,1264700;84;0,84;1,000000000;1,00000000;0,8876230;P81;EC0006;PFOSTemp;Female;0,569735642661805
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis;4;3;1;2,00600;9,0347e-01;1,00000000;0,1563500;61;0,61;1,000000000;1,00000000;0,8876230;P82;EC00072;PFOSTemp;Female;0,498504486540379
Phosphatidylinositol phosphate metabolism;48;16;3;5,76720;9,9055e-01;0,99890000;0,3909400;98;0,98;1,000000000;1,00000000;0,8876230;P83;"EC0008;EC00072";PFOSTemp;Female;0,520183104452767
N-Glycan Degradation;7;5;5;0,99702;6,2316e-03;0,05385400;0,0045829;2;0,02;0,442443600;1,00000000;0,3253859;P1;"EC0008;EC00045;EC00084;EC000162";AcidPFOS;Female;5,014944534713446
Galactose metabolism;44;19;17;2,19350;1,0214e-02;0,04419700;0,0046428;0;0,00;0,714980000;1,00000000;0,3253859;P2;"EC0008;EC00037;EC00045;EC000122;EC00067;EC000145";AcidPFOS;Female;7,750170959653523
Arachidonic acid metabolism;73;38;34;6,38100;1,1991e-02;0,02932600;0,0046698;2;0,02;0,827379000;1,00000000;0,3253859;P3;"EC00056;EC000114;EC000115;EC000133;EC000154;EC000190;EC000191;EC000230;EC000232;EC000278;EC000279;EC000281";AcidPFOS;Female;5,328318445384736
Keratan sulfate degradation;14;5;4;1,19640;1,5871e-02;0,09270000;0,0047293;3;0,03;1,000000000;1,00000000;0,3253859;P4;"EC0008;EC00045;EC00084;EC000162";AcidPFOS;Female;3,343363423604146
Omega-3 fatty acid metabolism;38;4;4;1,79460;1,7878e-02;0,07823800;0,0047603;1;0,01;1,000000000;1,00000000;0,3253859;P5;"EC0002;EC000233;EC000278;EC000279;EC000281";AcidPFOS;Female;2,228908949069431
Glycosphingolipid biosynthesis - ganglioseries;38;10;8;1,39580;3,1470e-02;0,13985000;0,0049766;1;0,01;1,000000000;1,00000000;0,3284556;P6;"EC0008;EC00043;EC00045;EC000211";AcidPFOS;Female;5,731480154749964
Glycosphingolipid metabolism;56;19;11;2,79170;3,9818e-02;0,11768000;0,0051146;3;0,03;1,000000000;1,00000000;0,3324490;P7;"EC0008;EC00043;EC00084;EC00092;EC00045;EC000274";AcidPFOS;Female;3,940251459684063
Sialic acid metabolism;89;26;22;2,19350;4,6937e-02;0,14990000;0,0052354;7;0,07;1,000000000;1,00000000;0,3350656;P8;"EC0008;EC00043;EC00045;EC00084;EC00037";AcidPFOS;Female;10,029633006610441
Glycolysis and Gluconeogenesis;56;14;12;2,39290;6,8164e-02;0,19267000;0,0056140;5;0,05;1,000000000;1,00000000;0,3536820;P9;"EC0002;EC0008;EC00037;EC00039;EC00067";AcidPFOS;Female;5,014835555184086
Glycerophospholipid metabolism;146;30;15;8,77380;6,9653e-02;0,12398000;0,0056417;6;0,06;1,000000000;1,00000000;0,3536820;P10;"EC00039;EC0008;EC00056;EC00067;EC00082;EC00085;EC00092;EC00037;EC000175;EC000274;EC000278;EC000279;EC000281";AcidPFOS;Female;1,709635505710183
Glycosphingolipid biosynthesis - globoseries;17;7;4;1,19640;9,6301e-02;0,33579000;0,0061612;9;0,09;1,000000000;1,00000000;0,3758332;P11;"EC00043;EC0008;EC00045";AcidPFOS;Female;3,343363423604146
Glyoxylate and Dicarboxylate Metabolism;21;4;3;1,19640;9,6301e-02;0,33579000;0,0061612;14;0,14;1,000000000;1,00000000;0,3758332;P12;"EC00058;EC00082;EC0008";AcidPFOS;Female;2,507522567703110
Chondroitin sulfate degradation;8;5;3;0,59821;1,0257e-01;0,48225000;0,0062905;24;0,24;1,000000000;1,00000000;0,3758332;P13;"EC0008;EC00045";AcidPFOS;Female;5,014961301215292
Fructose and mannose metabolism;37;17;14;1,99400;1,1662e-01;0,31037000;0,0065913;13;0,13;1,000000000;1,00000000;0,3822954;P14;"EC0008;EC00037;EC00067;EC000162";AcidPFOS;Female;7,021063189568706
Leukotriene metabolism;89;11;6;5,38390;1,4435e-01;0,26398000;0,0072307;21;0,21;1,000000000;1,00000000;0,4121499;P15;"EC0002;EC000154;EC000190;EC000191;EC000114;EC000115;EC000262;EC000266";AcidPFOS;Female;1,114433774772934
Alkaloid biosynthesis II;16;4;2;0,79762;1,7896e-01;0,58487000;0,0081229;9;0,09;1,000000000;1,00000000;0,4548824;P16;"EC0002;EC000296";AcidPFOS;Female;2,507459692585442
Linoleate metabolism;30;15;9;4,78570;1,7916e-01;0,32402000;0,0081283;23;0,23;1,000000000;1,00000000;0,4548824;P17;"EC00056;EC000175;EC000227;EC000294;EC000306;EC000307;EC000313";AcidPFOS;Female;1,880602628664563
Hexose phosphorylation;22;13;9;1,59520;1,9976e-01;0,48782000;0,0087151;30;0,30;1,000000000;1,00000000;0,4706154;P18;"EC0008;EC00037;EC000145";AcidPFOS;Female;5,641925777331996
Starch and Sucrose Metabolism;26;9;6;1,59520;1,9976e-01;0,48782000;0,0087151;25;0,25;1,000000000;1,00000000;0,4706154;P19;"EC0008;EC00037;EC000122";AcidPFOS;Female;3,761283851554664
Fatty acid activation;78;23;10;7,77680;2,2675e-01;0,34886000;0,0095537;26;0,26;1,000000000;1,00000000;0,4967924;P20;"EC0002;EC000175;EC000206;EC000278;EC000279;EC000281;EC000284;EC000323;EC000325;EC000327";AcidPFOS;Female;1,285875938689435
Aminosugars metabolism;69;23;10;3,38990;2,3549e-01;0,43704000;0,0098438;24;0,24;1,000000000;1,00000000;0,5020338;P21;"EC00037;EC00043;EC00045;EC00084;EC000207";AcidPFOS;Female;2,949939526239712
Pentose and Glucuronate Interconversions;20;8;3;1,79460;2,5860e-01;0,55557000;0,0106570;19;0,19;1,000000000;1,00000000;0,5328500;P22;"EC0008;EC000146;EC000147";AcidPFOS;Female;1,671681711802073
Purine metabolism;80;18;6;4,38690;2,5982e-01;0,44103000;0,0107020;20;0,20;1,000000000;1,00000000;0,5328500;P23;"EC0002;EC00048;EC00049;EC00098;EC000104;EC000180";AcidPFOS;Female;1,367708404568146
Di-unsaturated fatty acid beta-oxidation;36;2;2;0,99702;2,6087e-01;0,66739000;0,0107410;21;0,21;1,000000000;1,00000000;0,5328500;P24;"EC0002;EC000175";AcidPFOS;Female;2,005977813885378
Prostaglandin formation from arachidonate;48;20;14;7,17860;2,7231e-01;0,41125000;0,0111730;23;0,23;1,000000000;1,00000000;0,5328500;P25;"EC0002;EC000114;EC000115;EC000190;EC000191;EC000262;EC000266;EC000268;EC000127";AcidPFOS;Female;1,950240994065695
Heparan sulfate degradation;9;4;2;0,39881;3,5952e-01;1,00000000;0,0151690;60;0,60;1,000000000;1,00000000;0,6977740;P26;EC0008;AcidPFOS;Female;5,014919385170884
Prostaglandin formation from dihomo gama-linoleic acid;6;1;1;0,39881;3,5952e-01;1,00000000;0,0151690;35;0,35;1,000000000;1,00000000;0,6977740;P27;EC000133;AcidPFOS;Female;2,507459692585442
Vitamin E metabolism;26;1;1;0,39881;3,5952e-01;1,00000000;0,0151690;27;0,27;1,000000000;1,00000000;0,6977740;P28;EC0002;AcidPFOS;Female;2,507459692585442
Propanoate metabolism;25;4;2;1,39580;4,2245e-01;0,78697000;0,0190210;46;0,46;1,000000000;1,00000000;0,8179030;P29;"EC0002;EC00067";AcidPFOS;Female;1,432870038687491
De novo fatty acid biosynthesis;73;14;6;6,18150;4,2537e-01;0,59534000;0,0192240;50;0,50;1,000000000;1,00000000;0,8179030;P30;"EC0002;EC000175;EC000206;EC000278;EC000279;EC000281;EC000284";AcidPFOS;Female;0,970638194612958
Keratan sulfate biosynthesis;6;2;1;0,59821;4,8800e-01;1,00000000;0,0242290;26;0,26;1,000000000;1,00000000;0,9933890;P31;EC00043;AcidPFOS;Female;1,671653767071764
Mono-unsaturated fatty acid beta-oxidation;23;2;1;0,59821;4,8800e-01;1,00000000;0,0242290;31;0,31;1,000000000;1,00000000;0,9933890;P32;EC0002;AcidPFOS;Female;1,671653767071764
Vitamin H (biotin) metabolism;7;2;1;0,59821;4,8800e-01;1,00000000;0,0242290;29;0,29;1,000000000;1,00000000;0,9933890;P33;EC0002;AcidPFOS;Female;1,671653767071764
Pentose phosphate pathway;31;10;5;1,59520;4,9669e-01;0,82971000;0,0250330;51;0,51;1,000000000;1,00000000;0,9933890;P34;"EC0002;EC00037";AcidPFOS;Female;3,134403209628887
Blood Group Biosynthesis;11;4;1;0,79762;5,9102e-01;1,00000000;0,0360390;33;0,33;1,000000000;1,00000000;1,0000000;P35;EC00043;AcidPFOS;Female;1,253729846292721
Glycosphingolipid biosynthesis - lactoseries;5;3;1;0,79762;5,9102e-01;1,00000000;0,0360390;33;0,33;1,000000000;1,00000000;1,0000000;P36;EC00043;AcidPFOS;Female;1,253729846292721
Hyaluronan Metabolism;8;3;1;0,79762;5,9102e-01;1,00000000;0,0360390;32;0,32;1,000000000;1,00000000;1,0000000;P37;EC00045;AcidPFOS;Female;1,253729846292721
O-Glycan biosynthesis;10;5;2;0,79762;5,9102e-01;1,00000000;0,0360390;33;0,33;1,000000000;1,00000000;1,0000000;P38;EC00043;AcidPFOS;Female;2,507459692585442
Ubiquinone Biosynthesis;20;3;1;0,79762;5,9102e-01;1,00000000;0,0360390;47;0,47;1,000000000;1,00000000;1,0000000;P39;EC0002;AcidPFOS;Female;1,253729846292721
N-Glycan biosynthesis;29;7;2;1,99400;6,2603e-01;0,89143000;0,0414920;47;0,47;1,000000000;1,00000000;1,0000000;P40;"EC0008;EC00043";AcidPFOS;Female;1,003009027081244
Glycosphingolipid biosynthesis - neolactoseries;11;4;1;0,99702;6,7355e-01;1,00000000;0,0505540;39;0,39;1,000000000;1,00000000;1,0000000;P41;EC00043;AcidPFOS;Female;1,002988906942689
Squalene and cholesterol biosynthesis;53;4;1;0,99702;6,7355e-01;1,00000000;0,0505540;29;0,29;1,000000000;1,00000000;1,0000000;P42;EC000109;AcidPFOS;Female;1,002988906942689
Tryptophan metabolism;78;10;2;2,19350;6,8057e-01;0,91341000;0,0520880;72;0,72;1,000000000;1,00000000;1,0000000;P43;"EC0002;EC0008";AcidPFOS;Female;0,911784818782767
Bile acid biosynthesis;64;8;2;2,39290;7,2857e-01;0,93099000;0,0642700;55;0,55;1,000000000;1,00000000;1,0000000;P44;"EC000241;EC000335";AcidPFOS;Female;0,835805925864014
Vitamin A (retinol) metabolism;55;12;5;2,39290;7,2857e-01;0,93099000;0,0642700;43;0,43;1,000000000;1,00000000;1,0000000;P45;"EC0002;EC000329";AcidPFOS;Female;2,089514814660036
Methionine and cysteine metabolism;73;15;3;3,58930;7,3396e-01;0,90099000;0,0658510;73;0,73;1,000000000;1,00000000;1,0000000;P46;"EC0002;EC000169;EC000258";AcidPFOS;Female;0,835817568885298
Butanoate metabolism;31;6;1;1,19640;7,3963e-01;1,00000000;0,0675690;77;0,77;1,000000000;1,00000000;1,0000000;P47;EC0002;AcidPFOS;Female;0,835840855901037
Carbon fixation;10;4;1;1,19640;7,3963e-01;1,00000000;0,0675690;65;0,65;1,000000000;1,00000000;1,0000000;P48;EC00037;AcidPFOS;Female;0,835840855901037
Carnitine shuttle;62;3;1;1,19640;7,3963e-01;1,00000000;0,0675690;63;0,63;1,000000000;1,00000000;1,0000000;P49;EC000206;AcidPFOS;Female;0,835840855901037
Glutathione Metabolism;16;6;1;1,19640;7,3963e-01;1,00000000;0,0675690;62;0,62;1,000000000;1,00000000;1,0000000;P50;EC000184;AcidPFOS;Female;0,835840855901037
Omega-6 fatty acid metabolism;41;2;1;1,19640;7,3963e-01;1,00000000;0,0675690;45;0,45;1,000000000;1,00000000;1,0000000;P51;EC0002;AcidPFOS;Female;0,835840855901037
Vitamin B1 (thiamin) metabolism;22;4;1;1,19640;7,3963e-01;1,00000000;0,0675690;59;0,59;1,000000000;1,00000000;1,0000000;P52;EC0002;AcidPFOS;Female;0,835840855901037
Fatty Acid Metabolism;35;9;2;2,59230;7,7043e-01;0,94505000;0,0779830;58;0,58;1,000000000;1,00000000;1,0000000;P53;"EC00056;EC000175";AcidPFOS;Female;0,771515642479651
Beta-Alanine metabolism;14;5;1;1,39580;7,9249e-01;1,00000000;0,0867710;81;0,81;1,000000000;1,00000000;1,0000000;P54;EC00067;AcidPFOS;Female;0,716435019343746
Histidine metabolism;32;6;1;1,39580;7,9249e-01;1,00000000;0,0867710;64;0,64;1,000000000;1,00000000;1,0000000;P55;EC0002;AcidPFOS;Female;0,716435019343746
Lysine metabolism;43;6;1;1,39580;7,9249e-01;1,00000000;0,0867710;66;0,66;1,000000000;1,00000000;1,0000000;P56;EC0002;AcidPFOS;Female;0,716435019343746
Selenoamino acid metabolism;34;6;1;1,39580;7,9249e-01;1,00000000;0,0867710;65;0,65;1,000000000;1,00000000;1,0000000;P57;EC0002;AcidPFOS;Female;0,716435019343746
Glycine- serine- alanine and threonine metabolism;74;20;4;5,38390;8,2697e-01;0,93039000;0,1034200;82;0,82;1,000000000;1,00000000;1,0000000;P58;"EC0002;EC00058;EC000127;EC000210";AcidPFOS;Female;0,742955849848623
CoA Catabolism;11;4;1;1,59520;8,3475e-01;1,00000000;0,1077900;54;0,54;1,000000000;1,00000000;1,0000000;P59;EC0002;AcidPFOS;Female;0,626880641925777
Biopterin metabolism;26;3;1;1,79460;8,6851e-01;1,00000000;0,1302300;56;0,56;1,000000000;1,00000000;1,0000000;P60;EC00029;AcidPFOS;Female;0,557227237267358
Vitamin B5 - CoA biosynthesis from pantothenate;18;5;1;1,79460;8,6851e-01;1,00000000;0,1302300;57;0,57;1,000000000;1,00000000;1,0000000;P61;EC0002;AcidPFOS;Female;0,557227237267358
Phosphatidylinositol phosphate metabolism;48;16;5;4,58630;8,7431e-01;0,96164000;0,1347900;83;0,83;1,000000000;1,00000000;1,0000000;P62;"EC0008;EC00092;EC00037";AcidPFOS;Female;1,090203431960404
Valine- leucine and isoleucine degradation;66;15;2;3,38990;8,8700e-01;0,97808000;0,1456700;94;0,94;1,000000000;1,00000000;1,0000000;P63;"EC0002;EC00047";AcidPFOS;Female;0,589987905247942
Alanine and Aspartate Metabolism;20;8;1;1,99400;8,9545e-01;1,00000000;0,1537200;81;0,81;1,000000000;1,00000000;1,0000000;P64;EC0002;AcidPFOS;Female;0,501504513540622
Pyruvate Metabolism;24;8;1;1,99400;8,9545e-01;1,00000000;0,1537200;81;0,81;1,000000000;1,00000000;1,0000000;P65;EC000127;AcidPFOS;Female;0,501504513540622
Androgen and estrogen biosynthesis and metabolism;71;19;1;2,39290;9,3406e-01;1,00000000;0,2025600;77;0,77;1,000000000;1,00000000;1,0000000;P66;EC000222;AcidPFOS;Female;0,417902962932007
Aspartate and asparagine metabolism;84;19;3;4,18750;9,4707e-01;0,99137000;0,2261000;93;0,93;1,000000000;1,00000000;1,0000000;P67;"EC0002;EC000184";AcidPFOS;Female;0,716417910447761
Tyrosine metabolism;107;27;5;7,57740;9,6842e-01;0,99056000;0,2807800;90;0,90;1,000000000;1,00000000;1,0000000;P68;"EC0002;EC00029;EC000142;EC000253";AcidPFOS;Female;0,659856943014754
Arginine and Proline Metabolism;48;16;1;3,19050;9,7402e-01;1,00000000;0,3009900;94;0,94;1,000000000;1,00000000;1,0000000;P69;EC000184;AcidPFOS;Female;0,313430496787337
C21-steroid hormone biosynthesis and metabolism;77;22;1;3,19050;9,7402e-01;1,00000000;0,3009900;82;0,82;1,000000000;1,00000000;1,0000000;P70;EC000222;AcidPFOS;Female;0,313430496787337
Pyrimidine metabolism;69;13;1;3,38990;9,7946e-01;1,00000000;0,3248400;96;0,96;1,000000000;1,00000000;1,0000000;P71;EC0002;AcidPFOS;Female;0,294993952623971
Methionine and cysteine metabolism;73;15;8;3,10710;1,6282e-04;0,00089972;0,0048161;0;0,00;0,012211500;0,06747900;0,3612075;P1;"EC0001;EC0002;EC0003;EC0004;EC00024;EC00025;EC00063;EC000169;EC000202;EC000258";AcidPFOSTemp;Female;2,574748157445850
Alkaloid biosynthesis II;16;4;4;0,69048;8,1335e-04;0,01640700;0,0048262;0;0,00;0,060187900;1,00000000;0,3612075;P2;"EC0002;EC0003;EC000296;EC000301";AcidPFOSTemp;Female;5,793071486502144
Vitamin H (biotin) metabolism;7;2;2;0,51786;4,9245e-03;0,07573500;0,0048905;0;0,00;0,359488500;1,00000000;0,3612075;P3;"EC0002;EC0003;EC000247";AcidPFOSTemp;Female;3,862047657668096
Vitamin B1 (thiamin) metabolism;22;4;3;1,03570;9,2371e-03;0,06348100;0,0049590;0;0,00;0,665071200;1,00000000;0,3612075;P4;"EC0001;EC0002;EC0003;EC0004";AcidPFOSTemp;Female;2,896591677126581
Arginine and Proline Metabolism;48;16;6;2,76190;1,0288e-02;0,03696100;0,0049758;2;0,02;0,730448000;1,00000000;0,3612075;P5;"EC0001;EC00018;EC00024;EC00025;EC00063;EC000184;EC000261";AcidPFOSTemp;Female;2,172417538650929
Aspartate and asparagine metabolism;84;19;8;3,62500;1,5770e-02;0,04641000;0,0050646;3;0,03;1,000000000;1,00000000;0,3612075;P6;"EC0001;EC0002;EC0003;EC00018;EC000184;EC000218;EC000155;EC000261";AcidPFOSTemp;Female;2,206896551724138
Propanoate metabolism;25;4;3;1,20830;1,8771e-02;0,09787600;0,0051140;1;0,01;1,000000000;1,00000000;0,3612075;P7;"EC0002;EC0003;EC0004;EC000163";AcidPFOSTemp;Female;2,482827112472068
Selenoamino acid metabolism;34;6;3;1,20830;1,8771e-02;0,09787600;0,0051140;2;0,02;1,000000000;1,00000000;0,3612075;P8;"EC0001;EC0002;EC0003;EC000202";AcidPFOSTemp;Female;2,482827112472068
Purine metabolism;80;18;6;3,79760;2,1412e-02;0,05907400;0,0051578;3;0,03;1,000000000;1,00000000;0,3612075;P9;"EC0001;EC0002;EC0003;EC0004;EC00048;EC00049;EC00050;EC00098";AcidPFOSTemp;Female;1,579945228565410
Glycine- serine- alanine and threonine metabolism;74;20;7;4,66070;2,6694e-02;0,06546700;0,0052467;6;0,06;1,000000000;1,00000000;0,3612075;P10;"EC0001;EC0002;EC0003;EC0004;EC00018;EC00024;EC00025;EC00058;EC000210";AcidPFOSTemp;Female;1,501920312399425
Vitamin E metabolism;26;1;1;0,34524;2,9371e-02;0,31093000;0,0052923;1;0,01;1,000000000;1,00000000;0,3612075;P11;"EC0002;EC0003";AcidPFOSTemp;Female;2,896535743251072
Starch and Sucrose Metabolism;26;9;7;1,38100;3,2716e-02;0,13813000;0,0053499;4;0,04;1,000000000;1,00000000;0,3612075;P12;"EC0001;EC0008;EC000122;EC000185";AcidPFOSTemp;Female;5,068790731354091
N-Glycan Degradation;7;5;3;0,86310;3,7838e-02;0,20106000;0,0054395;7;0,07;1,000000000;1,00000000;0,3612075;P13;"EC0008;EC000161;EC000162";AcidPFOSTemp;Female;3,475842891901286
Glycolysis and Gluconeogenesis;56;14;6;2,07140;3,8722e-02;0,12782000;0,0054551;5;0,05;1,000000000;1,00000000;0,3612075;P14;"EC0001;EC0002;EC0003;EC0004;EC0008";AcidPFOSTemp;Female;2,896591677126581
Butanoate metabolism;31;6;3;1,03570;6,6439e-02;0,26985000;0,0059695;6;0,06;1,000000000;1,00000000;0,3641395;P15;"EC0002;EC0003;EC000163";AcidPFOSTemp;Female;2,896591677126581
Glyoxylate and Dicarboxylate Metabolism;21;4;3;1,03570;6,6439e-02;0,26985000;0,0059695;10;0,10;1,000000000;1,00000000;0,3641395;P16;"EC0001;EC00058;EC0008";AcidPFOSTemp;Female;2,896591677126581
Keratan sulfate degradation;14;5;2;1,03570;6,6439e-02;0,26985000;0,0059695;8;0,08;1,000000000;1,00000000;0,3641395;P17;"EC0008;EC000161;EC000162";AcidPFOSTemp;Female;1,931061118084387
Alanine and Aspartate Metabolism;20;8;3;1,72620;7,4698e-02;0,23108000;0,0061325;7;0,07;1,000000000;1,00000000;0,3641395;P18;"EC0002;EC0003;EC00018;EC000155";AcidPFOSTemp;Female;1,737921445950643
Fructose and mannose metabolism;37;17;7;1,72620;7,4698e-02;0,23108000;0,0061325;9;0,09;1,000000000;1,00000000;0,3641395;P19;"EC0001;EC0008;EC000161;EC000162";AcidPFOSTemp;Female;4,055150040551500
Mono-unsaturated fatty acid beta-oxidation;23;2;1;0,51786;7,8264e-02;0,42852000;0,0062043;4;0,04;1,000000000;1,00000000;0,3641395;P20;"EC0002;EC0003";AcidPFOSTemp;Female;1,931023828834048
Histidine metabolism;32;6;2;1,20830;1,0219e-01;0,33864000;0,0067101;6;0,06;1,000000000;1,00000000;0,3690555;P21;"EC0002;EC0003;EC000103";AcidPFOSTemp;Female;1,655218074981379
Galactose metabolism;44;19;13;1,89880;1,0252e-01;0,28127000;0,0067174;5;0,05;1,000000000;1,00000000;0,3690555;P22;"EC0001;EC0008;EC000122;EC000145";AcidPFOSTemp;Female;6,846429323783442
Tryptophan metabolism;78;10;3;1,89880;1,0252e-01;0,28127000;0,0067174;7;0,07;1,000000000;1,00000000;0,3690555;P23;"EC0002;EC0003;EC0008;EC000183";AcidPFOSTemp;Female;1,579945228565410
Bile acid biosynthesis;64;8;3;2,07140;1,3442e-01;0,33242000;0,0074617;8;0,08;1,000000000;1,00000000;0,3880084;P24;"EC000241;EC000242;EC000318;EC000335";AcidPFOSTemp;Female;1,448295838563290
Ubiquinone Biosynthesis;20;3;1;0,69048;1,3927e-01;0,52634000;0,0075824;15;0,15;1,000000000;1,00000000;0,3880084;P25;"EC0002;EC0003";AcidPFOSTemp;Female;1,448267871625536
Vitamin B3 (nicotinate and nicotinamide) metabolism;27;3;2;0,69048;1,3927e-01;0,52634000;0,0075824;3;0,03;1,000000000;1,00000000;0,3880084;P26;"EC0001;EC00018";AcidPFOSTemp;Female;2,896535743251072
CoA Catabolism;11;4;2;1,38100;1,4388e-01;0,40548000;0,0076989;6;0,06;1,000000000;1,00000000;0,3880084;P27;"EC0001;EC0002;EC0003";AcidPFOSTemp;Female;1,448225923244026
Pentose phosphate pathway;31;10;2;1,38100;1,4388e-01;0,40548000;0,0076989;7;0,07;1,000000000;1,00000000;0,3880084;P28;"EC0002;EC0003;EC000182";AcidPFOSTemp;Female;1,448225923244026
Valine- leucine and isoleucine degradation;66;15;5;2,93450;1,5062e-01;0,32171000;0,0078731;15;0,15;1,000000000;1,00000000;0,3880084;P29;"EC0001;EC0002;EC0003;EC00047;EC000163";AcidPFOSTemp;Female;1,703867779860283
Electron transport chain;9;1;1;0,17262;1,7262e-01;1,00000000;0,0084707;2;0,02;1,000000000;1,00000000;0,3896522;P30;EC0001;AcidPFOSTemp;Female;5,793071486502144
Omega-3 fatty acid metabolism;38;4;2;1,55360;1,9014e-01;0,46906000;0,0089813;27;0,27;1,000000000;1,00000000;0,4041585;P31;"EC0002;EC0003;EC000281";AcidPFOSTemp;Female;1,287332646755922
Pentose and Glucuronate Interconversions;20;8;4;1,55360;1,9014e-01;0,46906000;0,0089813;10;0,10;1,000000000;1,00000000;0,4041585;P32;"EC0001;EC0008;EC000148";AcidPFOSTemp;Female;2,574665293511843
Vitamin B5 - CoA biosynthesis from pantothenate;18;5;2;1,55360;1,9014e-01;0,46906000;0,0089813;6;0,06;1,000000000;1,00000000;0,4041585;P33;"EC0001;EC0002;EC0003";AcidPFOSTemp;Female;1,287332646755922
Di-unsaturated fatty acid beta-oxidation;36;2;1;0,86310;2,0689e-01;0,60766000;0,0095008;19;0,19;1,000000000;1,00000000;0,4041585;P34;"EC0002;EC0003";AcidPFOSTemp;Female;1,158614297300429
Glycosphingolipid metabolism;56;19;8;2,41670;2,0824e-01;0,43391000;0,0095439;28;0,28;1,000000000;1,00000000;0,4041585;P35;"EC0001;EC0008;EC00079;EC000129";AcidPFOSTemp;Female;3,310299168287334
Pyruvate Metabolism;24;8;3;1,72620;2,3961e-01;0,52856000;0,0106110;22;0,22;1,000000000;1,00000000;0,4244400;P36;"EC0001;EC0004;EC00053";AcidPFOSTemp;Female;1,737921445950643
Glutathione Metabolism;16;6;2;1,03570;2,7712e-01;0,67523000;0,0120580;21;0,21;1,000000000;1,00000000;0,4702620;P37;"EC0001;EC000184";AcidPFOSTemp;Female;1,931061118084387
