Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Xenobiotics metabolism;103;1;1;0,147290;0,1461500;1,000000;0,00101540;21;0,21;1,0000000;1,000000;0,01929260;P5;EC00017;AcidTemp;Female;6,789327177676692
Carnitine shuttle;62;3;2;0,736430;0,1547200;0,531330;0,00105340;11;0,11;1,0000000;1,000000;0,01929260;P6;"EC00019;EC00060";AcidTemp;Female;2,715804625015276
Fatty acid activation;78;9;4;3,534900;0,2536900;0,434060;0,00162000;29;0,29;1,0000000;1,000000;0,02592000;P7;"EC00017;EC00092;EC000117;EC000118;EC000119";AcidTemp;Female;1,131573736173583
Lysine metabolism;43;1;1;0,294570;0,2719100;1,000000;0,00175560;19;0,19;1,0000000;1,000000;0,02633400;P8;EC00019;AcidTemp;Female;3,394778830159215
Bile acid biosynthesis;64;14;2;1,178300;0,3308400;0,707240;0,00228310;16;0,16;1,0000000;1,000000;0,03196340;P9;"EC00014;EC000112";AcidTemp;Female;1,697360604260375
Omega-3 fatty acid metabolism;38;3;3;1,178300;0,3308400;0,707240;0,00228310;15;0,15;1,0000000;1,000000;0,03196340;P10;"EC00076;EC00092";AcidTemp;Female;2,546040906390563
Glycosphingolipid biosynthesis - globoseries;17;3;1;0,441860;0,3799900;1,000000;0,00285280;30;0,30;1,0000000;1,000000;0,03423360;P11;EC000128;AcidTemp;Female;2,263160277010818
Vitamin A (retinol) metabolism;55;14;4;2,503900;0,4685900;0,723840;0,00430570;25;0,25;1,0000000;1,000000;0,04736270;P12;"EC000120;EC000121;EC000122";AcidTemp;Female;1,597507887695196
Phosphatidylinositol phosphate metabolism;48;4;1;0,589150;0,4727500;1,000000;0,00439130;48;0,48;1,0000000;1,000000;0,04736270;P13;EC00017;AcidTemp;Female;1,697360604260375
Squalene and cholesterol biosynthesis;53;9;3;0,589150;0,4727500;1,000000;0,00439130;16;0,16;1,0000000;1,000000;0,04736270;P14;EC00014;AcidTemp;Female;5,092081812781125
Valine- leucine and isoleucine degradation;66;6;1;0,736430;0,5522500;1,000000;0,00644730;63;0,63;1,0000000;1,000000;0,05157840;P15;EC00031;AcidTemp;Female;1,357902312507638
C21-steroid hormone biosynthesis and metabolism;77;14;1;1,031000;0,6784900;1,000000;0,01234100;48;0,48;1,0000000;1,000000;0,08638700;P16;EC00014;AcidTemp;Female;0,969932104752667
Glycerophospholipid metabolism;146;13;2;2,503900;0,7538700;0,934050;0,01884800;57;0,57;1,0000000;1,000000;0,11308800;P17;"EC00014;EC00092";AcidTemp;Female;0,798753943847598
Aspartate and asparagine metabolism;84;11;1;1,325600;0,7704900;1,000000;0,02080300;57;0,57;1,0000000;1,000000;0,11308800;P18;EC00063;AcidTemp;Female;0,754375377187689
Sialic acid metabolism;89;14;1;1,325600;0,7704900;1,000000;0,02080300;48;0,48;1,0000000;1,000000;0,11308800;P19;EC000128;AcidTemp;Female;0,754375377187689
De novo fatty acid biosynthesis;73;7;3;2,651200;0,7841700;0,944560;0,02260500;73;0,73;1,0000000;1,000000;0,11308800;P20;"EC00017;EC00092";AcidTemp;Female;1,131563065781533
Glycosphingolipid metabolism;56;9;1;1,620200;0,8371600;1,000000;0,03180900;63;0,63;1,0000000;1,000000;0,11308800;P21;EC00017;AcidTemp;Female;0,617207752129367
Arachidonic acid metabolism;73;17;1;2,503900;0,9440600;1,000000;0,07709800;84;0,84;1,0000000;1,000000;0,11308800;P22;EC00092;AcidTemp;Female;0,399376971923799
Tyrosine metabolism;107;6;5;0,669290;0,0010219;0,013944;0,00049893;0;0,00;0,0286132;0,390432;0,01397004;P1;"EC0007;EC0008;EC00036;EC00042";PFOSTemp;Female;7,470603176500470
Valine- leucine and isoleucine degradation;66;6;5;0,669290;0,0167130;0,117320;0,00053371;4;0,04;0,4512510;1,000000;0,01441017;P2;"EC0008;EC00013;EC00031";PFOSTemp;Female;7,470603176500470
Saturated fatty acids beta-oxidation;27;3;2;0,535430;0,0851270;0,417810;0,00071742;4;0,04;1,0000000;1,000000;0,01865292;P3;"EC00017;EC00058";PFOSTemp;Female;3,735315540780308
Aspartate and asparagine metabolism;84;11;3;1,204700;0,0988660;0,312670;0,00076165;13;0,13;1,0000000;1,000000;0,01904125;P4;"EC0004;EC0008;EC00061";PFOSTemp;Female;2,490246534406906
Glycine- serine- alanine and threonine metabolism;74;4;2;0,669290;0,1307400;0,492930;0,00087560;7;0,07;1,0000000;1,000000;0,02101440;P5;"EC0004;EC00013";PFOSTemp;Female;2,988241270600188
Biopterin metabolism;26;1;1;0,133860;0,1328100;1,000000;0,00088361;3;0,03;1,0000000;1,000000;0,02101440;P6;EC0007;PFOSTemp;Female;7,470491558344539
Butanoate metabolism;31;3;3;0,133860;0,1328100;1,000000;0,00088361;8;0,08;1,0000000;1,000000;0,02101440;P7;EC0008;PFOSTemp;Female;22,411474675033617
Propanoate metabolism;25;2;2;0,133860;0,1328100;1,000000;0,00088361;8;0,08;1,0000000;1,000000;0,02101440;P8;EC0008;PFOSTemp;Female;14,940983116689077
Selenoamino acid metabolism;34;1;1;0,133860;0,1328100;1,000000;0,00088361;8;0,08;1,0000000;1,000000;0,02101440;P9;EC0008;PFOSTemp;Female;7,470491558344539
Vitamin B3 (nicotinate and nicotinamide) metabolism;27;1;1;0,133860;0,1328100;1,000000;0,00088361;6;0,06;1,0000000;1,000000;0,02101440;P10;EC0004;PFOSTemp;Female;7,470491558344539
Xenobiotics metabolism;103;1;1;0,133860;0,1328100;1,000000;0,00088361;10;0,10;1,0000000;1,000000;0,02101440;P11;EC00017;PFOSTemp;Female;7,470491558344539
Alanine and Aspartate Metabolism;20;3;1;0,401570;0,3502300;1,000000;0,00235150;22;0,22;1,0000000;1,000000;0,03997550;P12;EC0004;PFOSTemp;Female;2,490225863485818
