Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor;BiologicalFunction
Squalene and cholesterol biosynthesis;53;9;3;0,31496;0,28067;1;0,0018977;5;0,05;1;1;0,0208747;P5;EC00014;AcidPFOS;Female;9,52501905;Lipid metabolism
Vitamin A (retinol) metabolism;55;14;3;1,2598;0,36297;0,71176;0,0027369;19;0,19;1;1;0,0218952;P6;"EC00025;EC00026";AcidPFOS;Female;2,38133037;Cofactors and vitamins
Arachidonic acid metabolism;73;17;11;1,2598;0,75052;1;0,018879;74;0,74;1;1;0,037758;P12;EC00072;AcidPFOS;Female;8,73154469;Lipid metabolism
Omega-3 fatty acid metabolism;38;3;3;1,0709;0,071942;0,26199;0,0007398;1;0,01;1;1;0,0192348;P1;"EC00074;EC00090;EC00091";AcidPFOSTemp;Female;2,801382015;Lipid metabolism
Valine- leucine and isoleucine degradation;66;6;4;0,66929;0,13074;0,49293;0,00095013;17;0,17;1;1;0,02375325;P2;"EC0008;EC00031";AcidPFOSTemp;Female;5,976482541;Amino acid
Butanoate metabolism;31;3;3;0,13386;0,13281;1;0,00095861;4;0,04;1;1;0,02375325;P3;EC0008;AcidPFOSTemp;Female;22,41147468;Carbohydrate metabolism
Glycosphingolipid metabolism;56;9;3;1,4724;0,16306;0,41224;0,0010916;20;0,2;1;1;0,02375325;P7;"EC00017;EC00037;EC00057";AcidPFOSTemp;Female;2,037489813;Glycan biosynthesis and metabolism
Fatty acid activation;78;9;4;3,2126;0,18689;0,34853;0,00121;12;0,12;1;1;0,02375325;P8;"EC00017;EC00090;EC00091;EC000114;EC000115";AcidPFOSTemp;Female;1,245097429;Lipid metabolism
C21-steroid hormone biosynthesis and metabolism;77;14;6;0,93701;0,23348;0,61674;0,0014822;16;0,16;1;1;0,0266796;P9;"EC00048;EC00082";AcidPFOSTemp;Female;6,403346816;Lipid metabolism
De novo fatty acid biosynthesis;73;7;3;2,4094;0,44037;0,69848;0,0037715;31;0,31;1;1;0,0406623;P23;"EC00017;EC00090;EC00091";AcidPFOSTemp;Female;1,245123267;Lipid metabolism
